match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,country_name,competition_name,season_id,season_name,home_team_id,home_team_name,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,home_team_managers_id,home_team_managers_name,home_team_managers_nickname,home_team_managers_dob,home_team_managers_country_id,home_team_managers_country_name,away_team_id,away_team_name,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,away_team_managers_id,away_team_managers_name,away_team_managers_nickname,away_team_managers_dob,away_team_managers_country_id,away_team_managers_country_name,metadata_data_version,metadata_shot_fidelity_version,metadata_xy_fidelity_version,competition_stage_id,competition_stage_name,stadium_id,stadium_name,stadium_country_id,stadium_country_name,referee_id,referee_name,referee_country_id,referee_country_name
3893829,2023-08-02,2023-08-02 13:00:00,3,6,available,available,2023-08-25 19:09:25.824017,2023-08-25 19:12:57.829815,3,72,International,Women's World Cup,107,2023,16803,Panama Women's,female,,176,Panama,1003446,Ignacio Quintana Toledo,Ignacio Quintana Toledo,1988-04-20,147,Mexico,861,France Women's,female,,78,France,642,Hervé Renard,Hervé Renard,1968-09-30,78,France,1.1.0,2,2,10,Group Stage,1001126,Allianz Stadium (Sydney),14,Australia,2601.0,Laura Fortunato,11.0,Argentina
3893828,2023-08-01,2023-08-01 14:00:00,1,6,available,available,2023-08-28 14:06:59.596832,2023-08-28 14:12:37.980904,3,72,International,Women's World Cup,107,2023,1207,China PR Women's,female,,46,China,1003429,Qingxia Shui,Shui Qingxia,1966-12-18,46,China,865,England Women's,female,,68,England,45,Sarina Glotzbach-Wiegman,Sarina Wiegman,1969-10-26,160,Netherlands,1.1.0,2,2,10,Group Stage,28889,Coopers Stadium,14,Australia,2388.0,Casey Reibelt,14.0,Australia
3893827,2023-08-01,2023-08-01 10:00:00,0,7,available,available,2023-09-01 12:34:19.705316,2023-09-01 12:35:45.762196,3,72,International,Women's World Cup,107,2023,16769,Vietnam Women's,female,,247,Vietnam,1003426,Đức Chung Mai,Mai Đức Chung,1951-06-21,247,Vietnam,851,Netherlands Women's,female,,160,Netherlands,46,Andries Jonker,Andries Jonker,1962-09-22,160,Netherlands,1.1.0,2,2,10,Group Stage,1001341,Forsyth Barr,163,New Zealand,954.0,Ivana Martinčić,56.0,Croatia
3893825,2023-08-01,2023-08-01 14:00:00,0,2,available,available,2023-08-31 23:59:28.502195,2023-09-01 00:00:39.922431,3,72,International,Women's World Cup,107,2023,2355,Haiti Women's,female,,98,Haiti,1003427,Nicolas Michel Gregory Delépine,Nicolas Michel Gregory Delépine,1979-05-04,78,France,853,Denmark Women's,female,,61,Denmark,3574,Lars Søndergaard,Lars Søndergaard,1959-04-05,61,Denmark,1.1.0,2,2,10,Group Stage,28891,HBF Park,14,Australia,1006261.0,Hyeon-Jeong Oh,121.0,Korea (South)
3893824,2023-07-31,2023-07-31 13:00:00,0,0,available,available,2023-08-02 08:41:01.453327,2023-08-06 07:33:55.431511,3,72,International,Women's World Cup,107,2023,16768,Republic of Ireland Women's,female,,109,Ireland,132,Vera Pauw,Vera Pauw,1963-01-18,160,Netherlands,1213,Nigeria Women's,female,,166,Nigeria,1003417,Randy Marlon Waldrum,Randy Marlon Waldrum,1956-09-25,241,United States of America,1.1.0,2,2,10,Group Stage,28884,Brisbane Stadium,14,Australia,1746.0,Katia Itzel García,147.0,Mexico
3893821,2023-07-31,2023-07-31 13:00:00,0,4,available,available,2023-08-21 13:23:20.790676,2023-08-21 13:32:38.370713,3,72,International,Women's World Cup,107,2023,1206,Canada Women's,female,,40,Canada,1000081,Beverly Priestman,Beverly Priestman,1986-04-29,68,England,1205,Australia Women's,female,,14,Australia,408,Tony Gustavsson,Tony Gustavsson,1973-08-14,220,Sweden,1.1.0,2,2,10,Group Stage,28886,AAMI Park,14,Australia,128.0,Stéphanie Frappart,78.0,France
3893820,2023-07-30,2023-07-30 10:00:00,6,0,available,available,2023-08-12 03:15:44.809239,2023-08-12 03:16:08.877939,3,72,International,Women's World Cup,107,2023,852,Norway Women's,female,,171,Norway,1769,Hege Riise,Hege Riise,1969-07-18,171,Norway,1106,Philippines Women's,female,,180,Philippines,2957,Alen Stajčić,Alen Stajčić,1973-11-02,14,Australia,1.1.0,2,2,10,Group Stage,28892,Eden Park,163,New Zealand,1627.0,Marie-Soleil Beaudoin,40.0,Canada
3893819,2023-07-30,2023-07-30 07:30:00,0,1,available,available,2023-07-30 23:38:59.365461,2023-07-30 23:39:22.420917,2,72,International,Women's World Cup,107,2023,1211,Korea Republic Women's,female,,121,Korea (South),585,Colin Bell,Colin Bell,1961-08-05,68,England,2391,Morocco Women's,female,,154,Morocco,760,Reynald Pedros,Reynald Pedros,1971-10-10,78,France,1.1.0,2,2,10,Group Stage,28889,Coopers Stadium,14,Australia,2426.0,Edina Alves Batista,31.0,Brazil
3893818,2023-07-30,2023-07-30 12:30:00,1,2,available,available,2023-08-25 16:03:29.227472,2023-08-25 16:06:34.832910,2,72,International,Women's World Cup,107,2023,857,Germany Women's,female,,85,Germany,53,Martina Voss-Tecklenburg,Martina Voss-Tecklenburg,1967-12-22,85,Germany,16802,Colombia Women's,female,,49,Colombia,1003449,Angelo Marsiglia,Angelo Marsiglia,,49,Colombia,1.1.0,2,2,10,Group Stage,1001126,Allianz Stadium (Sydney),14,Australia,1626.0,Melissa Paola Borjas Pastrana,101.0,Honduras
3893817,2023-07-30,2023-07-30 10:00:00,0,0,available,available,2023-07-31 17:15:47.832645,2023-07-31 17:18:03.251164,3,72,International,Women's World Cup,107,2023,860,Switzerland Women's,female,,221,Switzerland,1002252,Inka Grings,Inka Grings,1978-10-31,85,Germany,1215,New Zealand Women's,female,,163,New Zealand,1003415,Jitka Klimková,Jitka Klimková,1974-08-20,60,Czech Republic,1.1.0,2,2,10,Group Stage,1001341,Forsyth Barr,163,New Zealand,1171.0,Tori Penso,241.0,United States of America
